SIP Code,Project,Contract No,Contractor,Line of Business,Contract Period Start,Contract Period End, Total Budget ,Service Site,Service Site Description 
A1A,Housing Stability Services,DA16-1122,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$118129.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1188,Catholic Community Services of Western Washington,ADS Area Agency on Aging,08/01/2016,06/30/2017,$166457.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1202,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2016,06/30/2017,$124806.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-1343,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,09/01/2016,12/31/2016,$307383.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A2A,Emergency Shelters,DA16-1345,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$204091.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1529,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$452400.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA15-1056,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,07/01/2015,06/30/2016,$266128.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1202,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2015,06/30/2016,$86306.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1348,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2015,06/30/2016,$116894.42,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1348,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2015,06/30/2016,$47521.58,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1387,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2015,06/30/2016,$222076.17,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-1387,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2015,06/30/2016,$57316.71,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A1A,Housing Stability Services,DA16-1056,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,07/01/2016,02/28/2017,$177419.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1348,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2016,06/30/2017,$71107.83,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1348,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2016,06/30/2017,$206338.89,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1387,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2016,06/30/2017,$246159.88,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-1387,Catholic Community Services of Western Washington,ADS Area Agency on Aging,07/01/2016,06/30/2017,$108070.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A2B,Transitional Housing,DA16-1420,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$259747.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
D2B,Mental Health,DA16-1634,Catholic Community Services of Western Washington,ADS Area Agency on Aging,01/01/2016,12/31/2016,$53000.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A3B,Senior Congregate Meal Programs,DA16-1700,Catholic Community Services of Western Washington,ADS Area Agency on Aging,01/01/2016,12/31/2016,$544481.00,"100 23rd Ave S, Seattle, WA 98144",Various sites (primary site provided)
A2E,Day Centers,DA16-6020,Catholic Community Services of Western Washington,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$466894.00,"100 23rd Ave S, Seattle, WA 98144",Service Site
A2C,Permanent Supportive Housing,DA16-1154,Archdiocesan Housing Authority,CSD Emergency and Transitional Svcs,10/01/2016,09/30/2017,$158702.00,"100 23rd Ave S, Seattle, WA 98144",Service Site
A2C,Permanent Supportive Housing,DA15-1154,Archdiocesan Housing Authority,CSD Emergency and Transitional Svcs,10/01/2015,09/30/2016,$147193.00,"100 23rd Ave S, Seattle, WA 98144",Service Site
A2E,Day Centers,DA16-1014,Archdiocesan Housing Authority,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$312061.00,"100 23rd Ave S, Seattle, WA 98144",Service Site
A2C,Permanent Supportive Housing,DA16-1367,Archdiocesan Housing Authority,CSD Emergency and Transitional Svcs,01/01/2016,12/31/2016,$133292.00,"100 23rd Ave S, Seattle, WA 98144",Service Site
C1H,SYVPI Recreation Services,DM16-5207,City of Seattle Department of Parks & Recreation,YDAD Youth Development,01/01/2016,05/31/2016,$25000.00,"100 Dexter Ave N, Seattle, WA 98109",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-7315,"Alzheimer's Disease and Related Disorders Association, Inc.",ADS Area Agency on Aging,07/01/2015,06/30/2016,$214278.00,"100 W Harrison St, N200, Seattle, WA 98119",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA16-7315,"Alzheimer's Disease and Related Disorders Association, Inc.",ADS Area Agency on Aging,07/01/2016,06/30/2017,$214278.00,"100 W Harrison St, N200, Seattle, WA 98119",Various sites (primary site provided)
ND5F,Family Caregiver Support Program,DA15-1579,"Alzheimer's Disease and Related Disorders Association, Inc.",ADS Area Agency on Aging,07/01/2015,08/31/2017,$41864.00,"100 W Harrison St, N200, Seattle, WA 98119",Various sites (primary site provided)
E1A,Access to Financial Services,DA16-1633,United Way of King County,YDAD Youth Development,01/01/2016,05/31/2016,$82556.00,"1000 4th Ave, Seattle, WA 98104",Service Site
A2G,Homeless Youth Services,DA15-7147,Auburn Youth Resources,YDAD Youth Development,12/01/2015,12/31/2016,$112770.00,"1000 Auburn Way S, Auburn, WA 98002",Service Site
D3C,Legal Services,DA16-1151,Columbia Legal Services,ADS Area Agency on Aging,01/01/2016,12/31/2016,$191232.00,"101 Yesler Way #300, Seattle, WA 98104",Service Site
B3D,LGBTQ Youth,DA16-1233,Lifelong AIDS Alliance,YDAD Youth Development,01/01/2016,12/31/2016,$37586.00,"1016 E Pike St, Seattle, WA 98122",Various sites (primary site provided)
A1A,Housing Stability Services,DA15-1170,Lifelong AIDS Alliance,CSD Emergency and Transitional Svcs,07/01/2015,02/28/2017,$1907235.00,"1016 E Pike St, Seattle, WA 98122",Various sites (primary site provided)
D5D,Adult Day Care/Day Health,DA16-1625,Northshore Senior Center,ADS Area Agency on Aging,03/01/2016,12/31/2016,$8331.79,"10201 E Riverside Dr, Bothell, WA 98011-3708",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1613,Northshore Senior Center,ADS Area Agency on Aging,03/01/2016,06/30/2017,$30000.00,"10201 E Riverside Dr, Bothell, WA 98011-3708",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1618,Renton Area Youth & Family Services,ADS Area Agency on Aging,07/01/2016,06/30/2017,$18750.00,"1025 S 3rd St, Renton, WA 98057",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1618,Renton Area Youth & Family Services,ADS Area Agency on Aging,07/01/2015,06/30/2016,$18750.00,"1025 S 3rd St, Renton, WA 98057",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA16-1550,Sea Mar Community Health Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$256668.00,"1040 S Henderson St, Seattle, WA 98108",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA15-1192,Sea Mar Community Health Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$37579.08,"1040 S Henderson St, Seattle, WA 98108",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA15-1192,Sea Mar Community Health Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$124556.92,"1040 S Henderson St, Seattle, WA 98108",Various sites (primary site provided)
ND5C,Community Living Connections for Seniors and People with Disabilities,DA15-1550,Sea Mar Community Health Center,ADS Area Agency on Aging,07/01/2015,06/30/2016,$256308.00,"1040 S Henderson St, Seattle, WA 98108",Various sites (primary site provided)
C1A,Youth Outreach and Case Management,DA16-1006,Sea Mar Community Health Center,YDAD Youth Development,01/01/2016,12/31/2016,$204510.00,"1040 S Henderson St, Seattle, WA 98108",Various sites (primary site provided)
D5F,Family Caregiver Programs,DA16-1192,Sea Mar Community Health Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$164177.19,"1040 S Henderson St, Seattle, WA 98108",Various sites (primary site provided)
D5A,Home Care and In Home Services,DA16-1192,Sea Mar Community Health Center,ADS Area Agency on Aging,07/01/2016,06/30/2017,$35919.24,"1040 S Henderson St, Seattle, WA 98108",Various sites (primary site provided)
C1G,Career Readiness and Re-Entry Services,DA16-1478,Urban League of Metropolitan Seattle,YDAD Youth Development,01/01/2016,12/31/2016,$803200.00,"105 14th Ave, Seattle, WA 98122",Service Site
A2G,Homeless Youth Services,DA16-7460,Urban League of Metropolitan Seattle,YDAD Youth Development,01/01/2016,12/31/2016,$123606.00,"105 14th Ave, Seattle, WA 98122",Service Site
A2C,Permanent Supportive Housing,DA16-1099,Archdiocesan Housing Authority,CSD Emergency and Transitional Svcs,06/01/2016,05/31/2017,$25337.25,"106 Bell St, Seattle, WA 98121",Service Site
A2C,Permanent Supportive Housing,DA15-1099,Archdiocesan Housing Authority,CSD Emergency and Transitional Svcs,06/01/2015,05/31/2016,$25422.00,"106 Bell St, Seattle, WA 98121",Service Site
