GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
"G010","2006-2010",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4712651,3293917,1232325,25814,51219,1769,46237,61370,4643,56727,"Alabama",0,2791,2491,1316,911,473,2838,2108,591,2028
"G020","2006-2010",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",691189,464150,22655,98120,36021,6317,9833,54093,2673,51420,"Alaska",0,1037,772,1826,1143,349,933,2060,440,2033
"G040","2006-2010",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",6246816,4883606,240655,278336,166663,12038,498977,166541,47200,119341,"Arizona",0,9722,1940,2582,1758,612,8580,4534,2349,3622
"G050","2006-2010",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2872684,2253875,445197,19192,33327,4133,65382,51578,4902,46676,"Arkansas",0,2671,1336,1008,837,230,2775,1942,618,1817
"G060","2006-2010",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",36637290,22392713,2246311,283628,4747252,140429,5448609,1378348,389022,989326,"California",0,29506,6348,5859,8060,1992,35117,20483,8759,15219
"G080","2006-2010",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",4887061,4082565,190598,47022,133134,5757,277524,150461,32176,118285,"Colorado",0,6953,2125,1910,1754,586,5728,3169,1957,2621
"G090","2006-2010",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3545837,2795926,342764,7959,129904,1332,189160,78792,18351,60441,"Connecticut",0,5385,2495,782,1183,203,5584,2989,1447,2370
"G100","2006-2010",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",881278,626426,185253,3076,27914,457,19915,18237,2020,16217,"Delaware",0,2079,1144,449,497,263,1700,1232,468,1119
"G110","2006-2010",,,"District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",584400,222375,309048,1625,20323,362,20021,10646,1484,9162,"District of Columbia",0,1552,986,229,382,43,1375,849,320,738
"G120","2006-2010",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",18511620,14115228,2900412,54570,444584,10797,624129,361900,87439,274461,"Florida",0,11252,6344,2047,2600,814,10654,7600,3946,6194
"G130","2006-2010",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",9468815,5788255,2873069,23234,296986,4850,338510,143911,24144,119767,"Georgia",0,7609,4574,1424,1463,488,7493,4880,1831,4347
"G150","2006-2010",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",1333591,333842,21170,3506,525848,127661,15964,305600,10008,295592,"Hawaii",0,1454,778,421,4026,1689,1498,4553,1001,4642
"G160","2006-2010",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",1526797,1407354,8674,18951,17939,2284,34225,37370,5226,32144,"Idaho",0,2546,584,1083,714,386,2110,1559,790,1340
"G170","2006-2010",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",12745359,9136680,1860305,24729,571537,3290,927604,221214,54732,166482,"Illinois",0,10985,3884,1607,2341,518,10934,5278,2995,3591
"G180","2006-2010",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",6417398,5461258,572352,14487,96189,1510,148957,122645,18276,104369,"Indiana",0,3680,2996,846,1194,339,3673,3643,1373,3451
"G190","2006-2010",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",3016267,2773410,82682,9825,50363,961,48535,50491,6721,43770,"Iowa",0,2292,1708,699,836,336,2210,2049,939,1728
"G200","2006-2010",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",2809329,2391786,161768,24422,66119,1625,81140,82469,12195,70274,"Kansas",0,3449,1724,1074,948,336,3239,2511,1156,2310
"G210","2006-2010",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",4285828,3792514,330764,8794,45604,2674,40178,65300,6521,58779,"Kentucky",0,2286,2502,760,914,420,2194,2674,693,2458
"G220","2006-2010",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",4429940,2819074,1405685,27352,67210,1416,50343,58860,7245,51615,"Louisiana",0,2593,2277,1098,781,411,2705,2632,864,2274
"G230","2006-2010",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1327665,1268805,13903,7002,13432,438,4132,19953,1349,18604,"Maine",0,770,606,470,422,134,693,872,346,907
"G240","2006-2010",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",5696423,3396216,1665235,16213,304574,2977,178952,132256,16984,115272,"Maryland",0,4623,3361,1315,1595,587,4740,4044,1361,3761
"G250","2006-2010",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",6477096,5289078,422303,12584,335906,2281,270865,144079,27509,116570,"Massachusetts",0,5210,3870,1057,1955,391,6051,3946,1834,3511
"G260","2006-2010",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",9952687,7895340,1401616,54502,242886,2722,144833,210788,26217,184571,"Michigan",0,3932,2910,1630,1816,426,4161,3820,1597,3298
"G270","2006-2010",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",5241914,4539826,257165,55370,204202,2135,75607,107609,9485,98124,"Minnesota",0,3116,2154,1298,1479,422,2964,2939,945,2806
"G280","2006-2010",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",2941991,1761910,1088270,13610,24691,636,23428,29446,2828,26618,"Mississippi",0,1721,1828,922,806,268,1609,1884,610,1820
"G290","2006-2010",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",5922314,4938222,679062,22829,92147,5201,61101,123752,9505,114247,"Missouri",0,3630,2375,1008,1108,545,2951,2944,1001,2906
"G300","2006-2010",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",973739,874571,4325,60135,6091,609,6050,21958,1551,20407,"Montana",0,837,504,976,413,135,683,1163,319,1139
"G310","2006-2010",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",1799125,1587857,77986,15651,29624,1209,49026,37772,5308,32464,"Nebraska",0,2192,1035,954,807,165,2056,1551,644,1409
"G320","2006-2010",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",2633331,1938033,207567,28403,183979,15526,167382,92441,16697,75744,"Nevada",0,5495,1732,1211,1960,845,5342,3582,1458,3086
"G330","2006-2010",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1313939,1241539,14186,2835,27754,287,9997,17341,1985,15356,"New Hampshire",0,1408,522,396,574,110,1288,997,460,923
"G340","2006-2010",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",8721577,6074010,1176241,19683,697788,2303,576943,174609,46859,127750,"New Jersey",0,7853,3630,1318,2320,492,8440,5053,2790,3749
"G350","2006-2010",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",2013122,1433955,39935,188217,27463,1088,261155,61309,24322,36987,"New Mexico",0,6242,1181,1726,699,215,5787,2389,1615,1881
"G360","2006-2010",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",19229752,12764402,2990591,66876,1392380,5334,1607796,402373,115912,286461,"New York",0,12714,7695,2275,3294,760,15199,7304,4174,5536
"G370","2006-2010",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",9271178,6453727,1980942,106026,194993,5170,356243,174077,25280,148797,"North Carolina",0,6883,3811,1735,1460,656,7528,4153,1787,3623
"G380","2006-2010",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",659858,597392,7034,34798,6132,439,3712,10351,593,9758,"North Dakota",0,602,453,615,419,195,516,774,193,750
