GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
"G00037","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abbeville, LA Urban Cluster","00037",,,,,,,,,,,"Abbeville, LA Urban Cluster",17439,10740,5302,11,804,0,219,363,20,343,"Abbeville, LA Urban Cluster",800,701,415,21,232,123,232,246,33,242
"G00064","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abbeville, SC Urban Cluster","00064",,,,,,,,,,,"Abbeville, SC Urban Cluster",5288,2378,2805,0,31,0,0,74,0,74,"Abbeville, SC Urban Cluster",159,330,319,132,37,132,132,66,132,66
"G00091","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abbotsford, WI Urban Cluster","00091",,,,,,,,,,,"Abbotsford, WI Urban Cluster",3210,3166,5,6,4,0,7,22,9,13,"Abbotsford, WI Urban Cluster",320,315,6,7,5,99,10,21,14,17
"G00118","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen, MS Urban Cluster","00118",,,,,,,,,,,"Aberdeen, MS Urban Cluster",5446,1667,3749,0,0,0,0,30,0,30,"Aberdeen, MS Urban Cluster",424,282,373,127,127,127,127,34,127,34
"G00145","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen, SD Urban Cluster","00145",,,,,,,,,,,"Aberdeen, SD Urban Cluster",25059,23304,118,945,199,0,0,493,0,493,"Aberdeen, SD Urban Cluster",245,333,98,270,115,99,99,208,99,208
"G00172","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen, WA Urban Cluster","00172",,,,,,,,,,,"Aberdeen, WA Urban Cluster",26460,22424,124,1030,315,36,1135,1396,187,1209,"Aberdeen, WA Urban Cluster",364,598,94,274,140,41,368,357,138,323
"G00199","2006-2010",,,,,,,,,,,,,,,,,,,,,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area","00199",,,,,,,,,,,"Aberdeen--Havre de Grace--Bel Air, MD Urbanized Area",188620,150843,26508,562,4531,15,2454,3707,587,3120,"Aberdeen--Havre de Grace--Bel Air, MD Urbanized Area",1689,1740,1009,235,449,25,726,528,199,527
"G00226","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abernathy, TX Urban Cluster","00226",,,,,,,,,,,"Abernathy, TX Urban Cluster",2584,2023,116,22,0,0,231,192,90,102,"Abernathy, TX Urban Cluster",494,398,118,36,127,127,123,130,89,93
"G00253","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abilene, KS Urban Cluster","00253",,,,,,,,,,,"Abilene, KS Urban Cluster",6756,6295,13,71,13,0,34,330,43,287,"Abilene, KS Urban Cluster",174,205,26,72,13,109,38,132,41,131
"G00280","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abilene, TX Urbanized Area","00280",,,,,,,,,,,"Abilene, TX Urbanized Area",103340,81142,8900,675,1300,98,8522,2703,863,1840,"Abilene, TX Urbanized Area",842,1378,503,179,327,71,1172,572,377,419
"G00307","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abilene North (Robertson Unit), TX Urban Cluster","00307",,,,,,,,,,,"Abilene North (Robertson Unit), TX Urban Cluster",0,0,0,0,0,0,0,0,0,0,"Abilene North (Robertson Unit), TX Urban Cluster",127,127,127,127,127,127,127,127,127,127
"G00334","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abingdon, IL Urban Cluster","00334",,,,,,,,,,,"Abingdon, IL Urban Cluster",3497,3358,74,18,0,0,0,47,0,47,"Abingdon, IL Urban Cluster",219,242,62,29,119,119,119,65,119,65
"G00361","2006-2010",,,,,,,,,,,,,,,,,,,,,"Abingdon, VA Urban Cluster","00361",,,,,,,,,,,"Abingdon, VA Urban Cluster",13261,12534,370,0,96,0,159,102,0,102,"Abingdon, VA Urban Cluster",551,617,135,127,73,127,199,78,127,78
"G00388","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ada, OH Urban Cluster","00388",,,,,,,,,,,"Ada, OH Urban Cluster",6078,5839,47,0,94,33,15,50,1,49,"Ada, OH Urban Cluster",327,345,49,119,43,47,25,53,6,52
"G00415","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ada, OK Urban Cluster","00415",,,,,,,,,,,"Ada, OK Urban Cluster",16463,11816,302,1921,51,0,41,2332,71,2261,"Ada, OK Urban Cluster",458,476,120,269,50,109,38,416,67,419
"G00442","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adairsville, GA Urban Cluster","00442",,,,,,,,,,,"Adairsville, GA Urban Cluster",3216,2216,778,0,6,0,168,48,0,48,"Adairsville, GA Urban Cluster",524,522,388,132,10,132,252,78,132,78
"G00469","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adel, GA Urban Cluster","00469",,,,,,,,,,,"Adel, GA Urban Cluster",7418,3133,3664,89,0,0,461,71,0,71,"Adel, GA Urban Cluster",586,491,288,119,132,132,148,70,132,70
"G00496","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adel, IA Urban Cluster","00496",,,,,,,,,,,"Adel, IA Urban Cluster",2874,2723,51,0,45,0,0,55,0,55,"Adel, IA Urban Cluster",173,191,66,99,59,99,99,62,99,62
"G00523","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adelanto, CA Urban Cluster","00523",,,,,,,,,,,"Adelanto, CA Urban Cluster",10909,6781,1722,51,307,28,1147,873,95,778,"Adelanto, CA Urban Cluster",1100,994,469,61,197,27,390,799,92,728
"G00577","2006-2010",,,,,,,,,,,,,,,,,,,,,"Adrian, MI Urban Cluster","00577",,,,,,,,,,,"Adrian, MI Urban Cluster",40613,35771,1976,405,188,28,1328,917,334,583,"Adrian, MI Urban Cluster",854,935,326,177,101,42,365,280,149,220
"G00658","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ahoskie, NC Urban Cluster","00658",,,,,,,,,,,"Ahoskie, NC Urban Cluster",4577,1311,3008,91,32,1,27,107,2,105,"Ahoskie, NC Urban Cluster",152,189,231,46,27,3,29,59,3,59
"G00685","2006-2010",,,,,,,,,,,,,,,,,,,,,"Airway Heights, WA Urban Cluster","00685",,,,,,,,,,,"Airway Heights, WA Urban Cluster",12570,9064,1269,390,512,100,532,703,36,667,"Airway Heights, WA Urban Cluster",1784,650,1158,241,257,91,237,318,33,314
"G00712","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ajo, AZ Urban Cluster","00712",,,,,,,,,,,"Ajo, AZ Urban Cluster",2750,1704,59,343,94,0,393,157,52,105,"Ajo, AZ Urban Cluster",572,270,62,333,109,132,215,130,72,100
