GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADKLE001,ADKLE002,ADKLE003,ADKLE004,ADKLE005,ADKLE006,ADKLE007,ADKLE008,ADKLE009,ADKLE010,ADKLE011,ADKLE012,ADKLE013,ADKLE014,ADKLE015,ADKLE016,ADKLE017,ADKLE018,ADKLE019,ADKLE020,ADKLE021,ADKLE022,ADKLE023,ADKLE024,ADKLE025,ADKLE026,ADKLE027,ADKLE028,ADKLE029,ADKLE030,ADKLE031,ADKLE032,ADKLE033,ADKLE034,ADKLE035,ADKLE036,ADKLE037,ADKLE038,ADKLE039,ADKLE040,ADKLE041,ADKLE042,ADKLE043,ADKLE044,ADKLE045,ADKLE046,ADKLE047,ADKLE048,ADKLE049,ADKXE001,ADKXE002,ADKXE003,ADKXE004,ADKXE005,ADKXE006,ADKXE007,ADKXE008,ADKXE009,ADKXE010,ADNKE001,NAME_M,ADKLM001,ADKLM002,ADKLM003,ADKLM004,ADKLM005,ADKLM006,ADKLM007,ADKLM008,ADKLM009,ADKLM010,ADKLM011,ADKLM012,ADKLM013,ADKLM014,ADKLM015,ADKLM016,ADKLM017,ADKLM018,ADKLM019,ADKLM020,ADKLM021,ADKLM022,ADKLM023,ADKLM024,ADKLM025,ADKLM026,ADKLM027,ADKLM028,ADKLM029,ADKLM030,ADKLM031,ADKLM032,ADKLM033,ADKLM034,ADKLM035,ADKLM036,ADKLM037,ADKLM038,ADKLM039,ADKLM040,ADKLM041,ADKLM042,ADKLM043,ADKLM044,ADKLM045,ADKLM046,ADKLM047,ADKLM048,ADKLM049,ADKXM001,ADKXM002,ADKXM003,ADKXM004,ADKXM005,ADKXM006,ADKXM007,ADKXM008,ADKXM009,ADKXM010,ADNKM001
"G010","2011-2015",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4830620,2341093,150860,156380,161596,98307,66953,37646,37574,99164,154977,150036,141667,155693,156413,166863,156994,58036,82623,49148,63576,79258,55122,36252,25955,2489527,144194,149334,156841,94462,64298,35547,36669,101444,159815,156764,152220,159835,163909,178187,169355,65766,90872,56472,72022,96507,75371,53976,55667,4830620,3325464,1276544,23850,59599,2439,61078,81646,7032,74614,43623,"Alabama",0,1138,820,1822,1893,600,725,1347,1305,1509,907,824,2135,2294,670,532,1841,1502,1468,1306,1117,1394,1212,1024,1005,1138,791,2056,2028,554,571,1538,1331,1965,741,463,2268,2232,608,482,1989,1698,1606,1121,1389,1242,1208,1136,1364,0,2653,2499,1026,1379,742,2975,2273,953,2114,281
"G020","2011-2015",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",733375,384160,28346,26276,26350,15929,11125,7274,6961,20755,32415,28232,24217,23429,24764,27623,26300,9823,11975,6682,7076,8877,4834,3015,1882,349215,26607,25063,24821,14735,8517,5147,5366,15663,28259,25272,22002,21968,22784,25503,25198,8714,10256,5772,7127,8269,4894,3758,3520,733375,484250,25022,101313,42921,8841,9273,61755,3202,58553,72515,"Alaska",0,339,191,843,810,201,379,655,584,718,242,297,725,693,259,247,762,603,545,378,417,435,304,266,257,339,182,788,798,193,172,499,440,513,252,201,686,699,186,181,604,477,529,363,388,466,312,335,343,0,1236,803,1735,994,428,1039,2190,548,2135,838
"G040","2011-2015",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",6641928,3299088,221511,231249,233530,138926,95367,53027,51846,142852,231488,223754,206718,213591,205830,210386,192614,71750,106575,68017,87835,121878,87470,58553,44321,3342840,212324,224385,222965,132399,89651,49968,48167,132457,215985,214946,202482,210621,206081,218328,209767,82243,118070,75725,98682,136840,96953,69559,74242,6641928,5210335,281576,294721,200090,12471,430890,211845,47488,164357,50255,"Arizona",0,845,287,3015,2985,348,414,1850,1949,2253,467,376,2340,2325,317,300,2252,1719,1847,1433,1622,1678,1393,1385,1308,845,267,2326,2314,349,767,1632,1653,1921,468,390,2437,2438,222,261,2259,1645,1937,1764,1728,2159,1556,1496,1752,0,10167,2672,2084,1909,774,9216,4480,2680,3451,211
"G050","2011-2015",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2958208,1451913,98246,103613,99707,60521,41663,22626,22920,59114,96190,96273,90371,91881,93238,98960,92133,35466,48616,30652,39469,52154,36856,23098,18146,1506295,93534,97603,96862,57735,39078,21940,20918,59387,96573,95632,90620,93777,95476,102953,100676,36713,53530,33875,42794,61686,44371,35328,35234,2958208,2307849,459748,18409,40336,6845,62484,62537,5557,56980,41371,"Arkansas",0,1007,567,1792,1712,460,639,1047,1221,1447,566,564,1640,1454,522,428,1251,1091,1117,879,1073,887,769,702,597,1007,577,1829,1949,495,630,1116,1069,1359,500,656,1462,1358,492,397,1401,1089,1276,879,1034,1106,1007,824,925,0,3220,1380,1149,1027,528,2957,2157,686,1904,247
"G060","2011-2015",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",38421464,19087135,1283763,1295030,1297819,811114,558090,314559,307090,883323,1478557,1399835,1287803,1308311,1306719,1305323,1161821,418682,557192,330615,404199,515115,363282,264126,234767,19334329,1228013,1240201,1245016,773387,525005,290157,285206,825833,1387516,1348430,1271908,1309907,1303528,1330645,1223440,450810,610111,372185,461741,604615,455568,363937,427170,38421464,23747013,2265387,287028,5261978,150370,4974791,1734897,396499,1338398,61818,"California",0,923,574,5765,5772,566,637,4110,4281,5585,524,743,6095,6107,583,503,4374,3383,4063,3481,3254,3635,2916,2630,2693,923,499,5162,5235,450,644,4105,4120,4898,636,501,5910,5792,565,463,4873,3883,4195,3750,3495,3939,3427,3590,3634,0,29085,6484,6335,9037,1984,34901,20243,8915,14412,156
"G080","2011-2015",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",5278906,2648667,173245,179803,179579,102577,73565,38468,40680,116654,204625,200624,183386,184422,174730,183543,170717,64919,85896,51057,60037,72252,49142,31894,26852,2630239,163629,173524,170930,98569,67798,35339,36131,108238,188680,188616,175326,173654,172981,187757,179537,65203,90721,54287,65243,80168,59393,43881,50634,5278906,4446095,213787,50008,153467,7695,224374,183480,35786,147694,60629,"Colorado",0,698,396,2129,2179,333,637,1267,1409,1864,653,594,2480,2503,436,443,1684,1255,1368,1258,1250,1216,989,988,750,700,438,2062,2071,368,567,1330,1355,1650,442,468,2120,2136,371,421,2009,1416,1650,1373,1124,1405,1097,1099,1120,0,6344,2269,2126,2349,713,5345,5072,2303,4109,252
"G090","2011-2015",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3593222,1751607,97647,110043,118032,75546,54873,26850,25243,71125,112189,107223,102424,116664,131872,138644,126670,44547,60154,35581,44597,55237,38844,28908,28694,1841615,93798,104940,113043,71687,53180,25977,23606,64777,108170,109096,106008,123744,139406,146532,132895,47707,66632,39860,51192,65488,51544,43036,59297,3593222,2778362,370501,8908,150670,981,181881,101919,24131,77788,70331,"Connecticut",0,359,204,1616,1625,172,292,1111,1140,1329,286,204,1577,1580,249,221,1593,1329,1325,1058,999,926,873,751,719,359,225,1587,1596,179,339,1122,1019,1233,284,220,1539,1550,205,202,1554,1083,1328,1080,1155,1292,1099,1053,919,0,5260,2888,783,1067,189,4802,2876,1696,2438,409
"G100","2011-2015",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",926454,448413,28382,28224,29482,17589,13094,7106,6652,19006,30933,28602,26498,27674,30582,32444,29048,11426,16499,9900,12867,17121,11479,7473,6332,478041,27430,28735,27484,16828,13125,7563,6223,18413,31146,29431,28738,28519,32924,35052,34377,12242,17775,11891,14816,19327,14264,10353,11385,926454,642623,200481,3140,33643,306,20995,25266,2699,22567,60509,"Delaware",0,135,95,924,917,65,126,535,586,617,98,97,800,814,107,127,893,677,616,503,452,518,459,383,403,135,120,889,886,59,81,559,558,710,90,140,938,920,110,39,824,671,612,570,539,678,565,569,502,0,1952,1327,418,599,141,1938,1451,544,1417,595
"G110","2011-2015",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",647484,306674,20585,14999,12723,7740,10372,6109,5869,15325,35295,32716,23748,21158,19279,19249,17592,5922,8350,4218,5522,8221,5071,3399,3212,340810,19848,15518,11991,7901,12426,6506,6535,19085,41913,35553,24922,20113,18956,19279,18716,7875,10017,5776,7599,9761,7601,5619,7300,647484,260325,316447,2154,23822,250,27159,17327,2442,14885,70848,"District of Columbia",0,145,80,556,551,57,169,550,630,683,54,74,725,723,26,83,594,388,486,379,418,428,354,334,251,145,79,587,585,56,209,539,572,787,125,72,713,718,22,45,660,528,526,340,441,452,437,417,370,0,1535,1266,604,493,96,1827,1017,463,906,843
"G120","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",19645772,9600009,552054,567479,582351,363538,247151,145187,135675,385515,641710,602467,579722,623074,659376,687625,626363,233764,332518,217826,299687,407275,305530,219362,184760,10045763,529003,543273,558377,345048,231468,136499,130195,368754,622134,602634,585089,639410,677305,723103,685728,265871,385321,253135,336242,470688,361107,281016,314363,19645772,14934702,3171108,54569,509085,11024,493202,472082,87803,384279,47507,"Florida",0,1387,624,4458,4364,754,1140,3143,2907,3864,962,844,5538,5580,786,722,3752,3093,3691,2860,3150,3256,2945,2996,2653,1387,685,4706,4722,670,1192,2597,2959,3059,851,703,4388,4345,610,567,4359,3315,3656,3234,3561,3847,2829,3266,3093,0,11160,7647,2023,3462,793,10699,9024,4206,7273,202
